History Channel Functions Measurement Report

Measurements started at Date: 28-Oct-2023 Time: 19:01:37

Spectrometer ID : 2108340U2
Integration Time: 100,00 ms
Averages        : 10 scans

Description of the Function:

Integral: between  344,00 and  360,00 nm. Multiplied with:  1,0000. Scope Corrected for Dark Mode

Time         Seconds   Function Value
19:44:12   2556,793     214574,9780
19:44:17   2561,957     214134,9692
19:44:22   2567,109     213411,5149
19:44:27   2572,297     212997,4418
19:44:32   2577,446     212460,7692
19:44:37   2582,626     212273,9999
19:44:43   2587,776     211778,4495
19:44:48   2592,929     211435,2779
19:44:53   2598,081     211272,3957
19:44:58   2603,264     210731,0352
19:45:03   2608,435     210455,7759
19:45:08   2613,609     209913,8886
19:45:14   2618,787     209720,6709
19:45:19   2623,953     209390,0410
19:45:24   2629,104     208900,3500
19:45:29   2634,281     208507,1813
19:45:34   2639,467     208392,2446
19:45:39   2644,654     207979,5674
19:45:45   2649,803     207897,3700
19:45:50   2654,955     207658,3098
19:45:55   2660,106     207304,0713
19:46:00   2665,256     207266,2492
19:46:05   2670,443     207093,5105
19:46:10   2675,595     206963,5453
19:46:16   2680,745     206591,8025
19:46:21   2685,936     206471,6067
19:46:26   2691,122     206238,9726
19:46:31   2696,310     206255,2676
19:46:36   2701,464     206128,0809
19:46:41   2706,653     206049,0410
19:46:47   2711,842     205843,4438
19:46:52   2717,034     205843,4441
19:46:57   2722,187     205604,2534
19:47:02   2727,339     205693,6812
19:47:07   2732,495     205646,3904
19:47:12   2737,649     205474,3364
19:47:18   2742,840     205441,4352
19:47:23   2747,996     205191,2690
19:47:28   2753,151     205300,8084
19:47:33   2758,345     205281,9106
19:47:38   2763,538     205281,4102
19:47:44   2768,728     205290,1977
19:47:49   2773,879     205202,7650
19:47:54   2779,027     205040,3290
19:47:59   2784,216     205129,8461
19:48:04   2789,408     205038,5250
19:48:09   2794,599     205186,9193
19:48:15   2799,791     204958,5911
19:48:20   2804,984     204962,5998
19:48:25   2810,145     205077,6933
19:48:30   2815,336     204759,4810
19:48:35   2820,478     205167,1030
19:48:40   2825,633     205157,8520
19:48:46   2830,785     205242,7197
19:48:51   2835,934     205137,9228
19:48:56   2841,130     205091,9003
19:49:01   2846,287     205050,7134
19:49:06   2851,443     205220,5230
19:49:11   2856,599     205264,9487
19:49:17   2861,760     205171,2420
19:49:22   2866,955     205228,8807
19:49:27   2872,150     205311,8485
19:49:32   2877,348     205446,3619
19:49:37   2882,506     205413,1389
19:49:43   2887,701     205409,0686
19:49:48   2892,859     205426,5155
19:49:53   2898,038     205503,1655
19:49:58   2903,235     205549,2933
19:50:03   2908,396     205424,8845
19:50:08   2913,591     205605,3027
19:50:14   2918,751     205634,9519
19:50:19   2923,949     205817,9299
19:50:24   2929,107     205738,6633
19:50:29   2934,269     205505,9575
19:50:34   2939,464     205709,3664
19:50:39   2944,660     205801,9145
19:50:45   2949,824     205760,4892
19:50:50   2955,024     205667,5938
19:50:55   2960,186     205628,6808
19:51:00   2965,346     205844,6820
19:51:05   2970,509     205929,8019
19:51:10   2975,669     206124,0087
19:51:16   2980,868     206099,0664
19:51:21   2986,031     206232,9374
19:51:26   2991,192     205950,5936
19:51:31   2996,389     206242,1478
19:51:36   3001,551     206210,3116
19:51:42   3006,749     206291,3510
19:51:47   3011,947     206371,3598
19:51:52   3017,110     206357,0676
19:51:57   3022,273     206329,6109
19:52:02   3027,435     206361,5316
19:52:07   3032,624     206425,4298
19:52:13   3037,825     206438,3597
19:52:18   3042,988     206521,6368
19:52:23   3048,193     206546,7879
19:52:28   3053,343     206604,6068
19:52:33   3058,506     206460,6450
19:52:39   3063,710     206664,9107
19:52:44   3068,909     206794,7055
19:52:49   3074,112     206735,5990
19:52:54   3079,276     206730,1812
19:52:59   3084,463     206874,5658
19:53:04   3089,666     206890,8818
19:53:10   3094,834     207090,7094
19:53:15   3099,997     206979,3742
19:53:20   3105,164     206734,9261
19:53:25   3110,368     206946,5028
19:53:30   3115,533     206985,9585
19:53:36   3120,695     207001,9031
19:53:41   3125,899     207083,8593
19:53:46   3131,066     207057,3341
19:53:51   3136,271     207109,8108
19:53:56   3141,436     207223,1969
19:54:01   3146,602     207139,7850
19:54:07   3151,805     207273,4131
19:54:12   3157,002     207212,8222
19:54:17   3162,207     207449,7463
19:54:22   3167,374     207192,4335
19:54:27   3172,542     207248,8977
19:54:33   3177,713     207410,3157
19:54:38   3182,917     207330,4406
19:54:43   3188,084     207318,5922
19:54:48   3193,245     207585,4303
19:54:53   3198,450     207600,8482
19:54:58   3203,657     207587,4559
19:55:04   3208,864     207527,1810
19:55:09   3214,031     207647,9758
19:55:14   3219,236     207671,0894
19:55:19   3224,407     207828,1810
19:55:24   3229,577     207782,3512
19:55:30   3234,746     207700,8917
19:55:35   3239,954     207900,7784
19:55:40   3245,161     207805,7605
19:55:45   3250,363     207872,3530
19:55:50   3255,532     208072,5054
19:55:56   3260,740     207906,0572
19:56:01   3265,910     207790,5979
19:56:06   3271,117     207961,6625
19:56:11   3276,328     207917,3017
19:56:16   3281,538     208083,1844
19:56:22   3286,705     208037,5809
19:56:27   3291,907     207977,3327
19:56:32   3297,075     208221,6959
19:56:37   3302,285     208019,8460
19:56:42   3307,455     208182,1979
19:56:47   3312,628     207962,5759
