History Channel Functions Measurement Report

Measurements started at Date: 06-May-2023 Time: 14:20:27

Spectrometer ID : 0706001U1
Integration Time: 100.00 ms
Averages        : 8 scans

Description of the Function:

Integral: between  340.00 and  360.00 nm. Multiplied with:  1.0000. Scope Corrected for Dark Mode

Time         Seconds   Function Value
07:21:50  61284.949     254291.6538
07:22:01  61295.317     254416.9181
07:22:11  61305.398     254110.0450
07:22:21  61315.504     254296.5094
07:22:31  61325.562     254542.6733
07:22:41  61335.632     254448.9061
07:22:51  61346.004     254535.6610
07:23:01  61356.092     254343.6012
07:23:11  61366.178     254214.6248
07:23:22  61376.260     254834.2934
07:23:32  61386.319     254286.2212
07:23:42  61396.397     254441.7437
07:23:52  61406.741     254349.4490
07:24:02  61416.812     254451.7455
07:24:12  61426.877     254284.5265
07:24:22  61436.913     254109.8740
07:24:32  61446.990     254741.4638
07:24:42  61457.080     254188.0805
07:24:52  61467.145     254313.4322
07:25:03  61477.204     254055.4934
07:25:13  61487.276     254319.1716
07:25:23  61497.368     254470.2237
07:25:33  61507.463     254439.3231
07:25:43  61517.527     254522.6378
07:25:53  61527.582     254188.0119
07:26:03  61537.636     254724.2697
07:26:13  61547.676     253710.7670
07:26:23  61557.748     254271.1008
07:26:33  61567.817     253845.0368
07:26:43  61577.852     254437.3175
07:26:53  61587.931     254381.9983
07:27:04  61598.310     253951.7713
07:27:14  61608.388     254641.7577
07:27:24  61618.481     254414.9233
07:27:34  61628.539     254584.8868
07:27:44  61638.614     254435.0229
07:27:54  61648.671     254513.4834
07:28:04  61658.736     254500.5813
07:28:14  61668.792     254587.7131
07:28:24  61679.150     254138.8307
07:28:35  61689.528     254607.5130
07:28:45  61699.636     254067.9149
07:28:55  61709.699     254693.0209
07:29:05  61719.775     254842.4312
07:29:15  61729.835     254144.8675
07:29:25  61739.890     254318.5989
07:29:36  61750.420     254216.7589
07:29:46  61760.778     254543.2273
07:29:56  61770.857     253887.5405
07:30:07  61781.214     254840.9969
07:30:17  61791.273     254047.2949
07:30:27  61801.329     254287.1194
07:30:37  61811.398     254076.4597
07:30:47  61821.468     254470.1866
07:30:57  61831.533     254886.8861
07:31:07  61841.631     254277.7194
07:31:17  61851.698     254477.9483
